category_code,category_name,vendor,opp_ha,predicted_stuks
200,200 - PAPRIKA GROEN,G4903 - COÖPERATIE HOOGSTRATEN,,953365
198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,199
200,200 - PAPRIKA GROEN,P  17 - GROBAR,24.0066,199
201,201 - PAPRIKA ROOD,P  17 - GROBAR,24.0066,357
202,202 - PAPRIKA GEEL,P  17 - GROBAR,24.0066,273
203,203 - PAPRIKA ORANJE,P  17 - GROBAR,24.0066,0
204,204 - PAPRIKA PAARS,P  17 - GROBAR,24.0066,0
205,205 - PAPRIKA WIT,P  17 - GROBAR,24.0066,0
206,206 - PAPRIKA MUNT,P  17 - GROBAR,24.0066,0
207,207 - PAPRIKA LILA,P  17 - GROBAR,24.0066,0
208,208 - PAPRIKA BRUIN,P  17 - GROBAR,24.0066,0
209,209 - PAPRIKA MIX,P  17 - GROBAR,24.0066,0
210,210 - MINI-PAPRIKA,P  17 - GROBAR,24.0066,7595
217,217 - PUNTPAPRIKA,P  17 - GROBAR,24.0066,119463
219,219 - PEPERS,P  17 - GROBAR,,438389
198,198 - PAPRIKA DIV.,P  22 - VERCAMMEN HUGO,1.48,180
200,200 - PAPRIKA GROEN,P  22 - VERCAMMEN HUGO,1.48,0
201,201 - PAPRIKA ROOD,P  22 - VERCAMMEN HUGO,1.48,30536
202,202 - PAPRIKA GEEL,P  22 - VERCAMMEN HUGO,1.48,254
203,203 - PAPRIKA ORANJE,P  22 - VERCAMMEN HUGO,1.48,0
204,204 - PAPRIKA PAARS,P  22 - VERCAMMEN HUGO,1.48,0
205,205 - PAPRIKA WIT,P  22 - VERCAMMEN HUGO,1.48,0
206,206 - PAPRIKA MUNT,P  22 - VERCAMMEN HUGO,1.48,0
207,207 - PAPRIKA LILA,P  22 - VERCAMMEN HUGO,1.48,0
208,208 - PAPRIKA BRUIN,P  22 - VERCAMMEN HUGO,1.48,0
209,209 - PAPRIKA MIX,P  22 - VERCAMMEN HUGO,1.48,0
210,210 - MINI-PAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
217,217 - PUNTPAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
198,198 - PAPRIKA DIV.,P  24 - MARVECO,12.3,173
200,200 - PAPRIKA GROEN,P  24 - MARVECO,12.3,4455
201,201 - PAPRIKA ROOD,P  24 - MARVECO,12.3,35696
202,202 - PAPRIKA GEEL,P  24 - MARVECO,12.3,248
203,203 - PAPRIKA ORANJE,P  24 - MARVECO,12.3,0
204,204 - PAPRIKA PAARS,P  24 - MARVECO,12.3,0
205,205 - PAPRIKA WIT,P  24 - MARVECO,12.3,0
206,206 - PAPRIKA MUNT,P  24 - MARVECO,12.3,0
207,207 - PAPRIKA LILA,P  24 - MARVECO,12.3,0
208,208 - PAPRIKA BRUIN,P  24 - MARVECO,12.3,0
209,209 - PAPRIKA MIX,P  24 - MARVECO,12.3,0
210,210 - MINI-PAPRIKA,P  24 - MARVECO,12.3,0
217,217 - PUNTPAPRIKA,P  24 - MARVECO,12.3,6893
200,200 - PAPRIKA GROEN,P  44 - BARVER,,1152574
201,201 - PAPRIKA ROOD,P  44 - BARVER,,1202314
217,217 - PUNTPAPRIKA,P  44 - BARVER,,432877
219,219 - PEPERS,P  44 - BARVER,,410401
198,198 - PAPRIKA DIV.,P  62 - VDBONA,6.75,173
200,200 - PAPRIKA GROEN,P  62 - VDBONA,6.75,173
201,201 - PAPRIKA ROOD,P  62 - VDBONA,6.75,332
202,202 - PAPRIKA GEEL,P  62 - VDBONA,6.75,248
203,203 - PAPRIKA ORANJE,P  62 - VDBONA,6.75,0
204,204 - PAPRIKA PAARS,P  62 - VDBONA,6.75,0
205,205 - PAPRIKA WIT,P  62 - VDBONA,6.75,0
206,206 - PAPRIKA MUNT,P  62 - VDBONA,6.75,0
207,207 - PAPRIKA LILA,P  62 - VDBONA,6.75,0
208,208 - PAPRIKA BRUIN,P  62 - VDBONA,6.75,0
209,209 - PAPRIKA MIX,P  62 - VDBONA,6.75,0
210,210 - MINI-PAPRIKA,P  62 - VDBONA,6.75,0
217,217 - PUNTPAPRIKA,P  62 - VDBONA,6.75,52002
