category_code,category_name,vendor,opp_ha,predicted_stuks
200,200 - PAPRIKA GROEN,G4903 - COÖPERATIE HOOGSTRATEN,,915512
198,198 - PAPRIKA DIV.,P  17 - GROBAR,24.0066,88
200,200 - PAPRIKA GROEN,P  17 - GROBAR,24.0066,88
201,201 - PAPRIKA ROOD,P  17 - GROBAR,24.0066,181
202,202 - PAPRIKA GEEL,P  17 - GROBAR,24.0066,166
203,203 - PAPRIKA ORANJE,P  17 - GROBAR,24.0066,0
204,204 - PAPRIKA PAARS,P  17 - GROBAR,24.0066,0
205,205 - PAPRIKA WIT,P  17 - GROBAR,24.0066,0
206,206 - PAPRIKA MUNT,P  17 - GROBAR,24.0066,0
207,207 - PAPRIKA LILA,P  17 - GROBAR,24.0066,0
208,208 - PAPRIKA BRUIN,P  17 - GROBAR,24.0066,0
209,209 - PAPRIKA MIX,P  17 - GROBAR,24.0066,0
210,210 - MINI-PAPRIKA,P  17 - GROBAR,24.0066,8488
217,217 - PUNTPAPRIKA,P  17 - GROBAR,24.0066,30504
219,219 - PEPERS,P  17 - GROBAR,,40431
198,198 - PAPRIKA DIV.,P  22 - VERCAMMEN HUGO,1.48,80
200,200 - PAPRIKA GROEN,P  22 - VERCAMMEN HUGO,1.48,0
201,201 - PAPRIKA ROOD,P  22 - VERCAMMEN HUGO,1.48,3689
202,202 - PAPRIKA GEEL,P  22 - VERCAMMEN HUGO,1.48,159
203,203 - PAPRIKA ORANJE,P  22 - VERCAMMEN HUGO,1.48,0
204,204 - PAPRIKA PAARS,P  22 - VERCAMMEN HUGO,1.48,0
205,205 - PAPRIKA WIT,P  22 - VERCAMMEN HUGO,1.48,0
206,206 - PAPRIKA MUNT,P  22 - VERCAMMEN HUGO,1.48,0
207,207 - PAPRIKA LILA,P  22 - VERCAMMEN HUGO,1.48,0
208,208 - PAPRIKA BRUIN,P  22 - VERCAMMEN HUGO,1.48,0
209,209 - PAPRIKA MIX,P  22 - VERCAMMEN HUGO,1.48,0
210,210 - MINI-PAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
217,217 - PUNTPAPRIKA,P  22 - VERCAMMEN HUGO,1.48,0
198,198 - PAPRIKA DIV.,P  24 - MARVECO,12.3,97
200,200 - PAPRIKA GROEN,P  24 - MARVECO,12.3,12686
201,201 - PAPRIKA ROOD,P  24 - MARVECO,12.3,9960
202,202 - PAPRIKA GEEL,P  24 - MARVECO,12.3,176
203,203 - PAPRIKA ORANJE,P  24 - MARVECO,12.3,0
204,204 - PAPRIKA PAARS,P  24 - MARVECO,12.3,0
205,205 - PAPRIKA WIT,P  24 - MARVECO,12.3,0
206,206 - PAPRIKA MUNT,P  24 - MARVECO,12.3,0
207,207 - PAPRIKA LILA,P  24 - MARVECO,12.3,0
208,208 - PAPRIKA BRUIN,P  24 - MARVECO,12.3,0
209,209 - PAPRIKA MIX,P  24 - MARVECO,12.3,0
210,210 - MINI-PAPRIKA,P  24 - MARVECO,12.3,0
